id	Level	LFC	qval	SE	sType	Species
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Neobacillus	Burn	3.07170799295914	0.0026247596901458	0.748231796041104	RhS	C_canadensis
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Devosiaceae;g__Devosia	Burn	1.15901062884876	0.0163745252610959	0.318060115858417	Rt	C_canadensis
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylotenera	Burn	3.16375691727257	0.0384156019882621	0.92671180356481	Rt	C_canadensis
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium	Burn	1.5344209100501	0.0042860623600675	0.385604564383974	Rt	C_canadensis
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Kitasatosporales;f__Streptomycetaceae;g__Streptomyces	Burn	1.77664782178201	2.17421930279053E-06	0.321719523908389	Rt	C_canadensis
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Dongiales;f__Dongiaceae;g__Dongia	Burn	-2.40521175705538	0.0038246856369651	0.59979793240646	Rt	C_canadensis
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Leifsonia	Burn	3.43633737811138	3.07935737832323E-05	0.682668854607811	Rt	C_canadensis
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia-Caballeronia-Paraburkholderia	Burn	-1.51332175753338	0.0218646353887077	0.427870474147934	BS	C_epigeios
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Incertae_Sedis;g__Incertae_Sedis	Burn	-1.25367719925571	5.96642305059176E-05	0.256061850458529	BS	C_epigeios
d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Acidiferrimicrobium	Burn	-1.04810133766681	0.0121743718736274	0.283783593977195	BS	C_epigeios
d__Bacteria;p__Myxococcota;c__bacteriap25;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis	Burn	2.25707226399076	0.03223957260823	0.658443775827703	BS	C_epigeios
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Kineosporiales;f__Kineosporiaceae;g__Kineosporia	Burn	-2.74207783532641	7.67735256280879E-05	0.566205421555161	BS	C_epigeios
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Streptosporangiales;f__Streptosporangiaceae;__	Burn	2.12498187696597	0.0014410566605298	0.504474266245462	BS	C_epigeios
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Incertae_Sedis	Burn	-1.86578604207696	0.000217969693477326	0.403162743984156	BS	C_epigeios
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Pseudarthrobacter	Burn	3.32240399490039	0.005970718975704	0.857392195268683	BS	C_epigeios
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;g__Bradyrhizobium	Burn	-0.908373898844592	0.0010518260157666	0.211905315673186	BS	C_epigeios
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	Burn	2.58379683557379	0.0192823529368971	0.721843328658307	RhS	C_epigeios
